date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:34:37	15939/15939	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Mar%202022%2023:34:37%20GMT	https://media1.giphy.com/media/oEI9uBYSzLpBK/giphy_s.gif?cid=790b76118be3b396e772c288c8e97ef171a36c49f39ce8a0&rid=giphy_s.gif&ct=g	C:/My%20Web%20Sites/yyggy/media1.giphy.com/media/oEI9uBYSzLpBK/giphy_s68f6.html	(from https://giphy.com/gifs/static-oEI9uBYSzLpBK)
19:34:37	282/282	---M-Z	200	added ('OK')	application/json	date:Thu,%2017%20Mar%202022%2023:34:37%20GMT	https://giphy.com/services/oembed?url=https://media1.giphy.com/media/oEI9uBYSzLpBK/giphy.gif?cid=790b76118be3b396e772c288c8e97ef171a36c49f39ce8a0&rid=giphy.gif&ct=g	C:/My%20Web%20Sites/yyggy/giphy.com/services/oembedef81.json	(from https://giphy.com/gifs/static-oEI9uBYSzLpBK)
19:34:37	1197/1197	---M--	200	added ('OK')	image/png	etag:%2222918c3c9ee5a9845590e3d909ab493c%22	https://giphy.com/static/img/favicon.png	C:/My%20Web%20Sites/yyggy/giphy.com/static/img/favicon.png	(from https://giphy.com/gifs/static-oEI9uBYSzLpBK)
19:34:37	1380/1380	---M--	200	added ('OK')	image/png	etag:%225cfd4ee392ba1174508cc983841a9d39%22	https://giphy.com/static/img/icons/apple-touch-icon-120px.png	C:/My%20Web%20Sites/yyggy/giphy.com/static/img/icons/apple-touch-icon-120px.png	(from https://giphy.com/gifs/static-oEI9uBYSzLpBK)
19:34:37	2126/2126	---M--	200	added ('OK')	image/png	etag:%2268294bc34291eb3a6e88c0701693bd44%22	https://giphy.com/static/img/icons/apple-touch-icon-180px.png	C:/My%20Web%20Sites/yyggy/giphy.com/static/img/icons/apple-touch-icon-180px.png	(from https://giphy.com/gifs/static-oEI9uBYSzLpBK)
19:34:37	2624695/2624695	---M--	200	added ('OK')	image/png	etag:%226211e684-280cb7%22	https://blacket.org/images/homeBlooks.png	C:/My%20Web%20Sites/yyggy/blacket.org/images/homeBlooks.png	(from https://blacket.org/)
19:34:38	1834/1834	---M--	200	added ('OK')	image/png	etag:%22821fd850707969ef783e490e90bce21f%22	https://giphy.com/static/img/icons/apple-touch-icon-152px.png	C:/My%20Web%20Sites/yyggy/giphy.com/static/img/icons/apple-touch-icon-152px.png	(from https://giphy.com/gifs/static-oEI9uBYSzLpBK)
19:34:38	1906/1906	---M--	200	added ('OK')	image/png	etag:%22c0f1c910c9c7259dceffa3fd0a863c8b%22	https://giphy.com/static/img/icons/apple-touch-icon-167px.png	C:/My%20Web%20Sites/yyggy/giphy.com/static/img/icons/apple-touch-icon-167px.png	(from https://giphy.com/gifs/static-oEI9uBYSzLpBK)
19:34:38	243/243	---M-Z	403	error ('Forbidden')	application/xml	date:Thu,%2017%20Mar%202022%2023:34:38%20GMT	https://giphy.com/static/img/icons/apple-touch-startup-image-320x460.png	C:/My%20Web%20Sites/yyggy/giphy.com/static/img/icons/apple-touch-startup-image-320x460.png	(from https://giphy.com/gifs/static-oEI9uBYSzLpBK)
19:34:38	243/243	---M-Z	403	error ('Forbidden')	application/xml	date:Thu,%2017%20Mar%202022%2023:34:39%20GMT	https://giphy.com/static/img/icons/apple-touch-startup-image-640x920.png	C:/My%20Web%20Sites/yyggy/giphy.com/static/img/icons/apple-touch-startup-image-640x920.png	(from https://giphy.com/gifs/static-oEI9uBYSzLpBK)
19:34:39	3097/3097	---M-Z	200	added ('OK')	application/x-javascript	etag:%2259ccfde01e32030441409fc145a16b09%22	https://connect.facebook.net/en_US/sdk.js	C:/My%20Web%20Sites/yyggy/connect.facebook.net/en_US/sdk.js	(from https://giphy.com/gifs/static-oEI9uBYSzLpBK)
19:34:39	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2017%20Mar%202022%2023:34:39%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/yyggy/www.googletagmanager.com/gtm.1b5445.delayed	(from https://giphy.com/gifs/static-oEI9uBYSzLpBK)
19:34:41	5790/5790	---M-Z	200	added ('OK')	application/javascript	etag:W/%226a8acae8ca4723bfcabcf5a91ddd8829%22	https://giphy.com/static/dist/runtime.79eb69db.bundle.js	C:/My%20Web%20Sites/yyggy/giphy.com/static/dist/runtime.79eb69db.bundle.js	(from https://giphy.com/gifs/static-oEI9uBYSzLpBK)
19:34:41	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/yyggy/www.google-analytics.com/analytics.js	(from https://giphy.com/gifs/static-oEI9uBYSzLpBK)
19:34:41	1648519/1648519	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a4cab3bc797b115f4ee2043d7ffb858b%22	https://giphy.com/static/dist/desktopVendor.733c4529.bundle.js	C:/My%20Web%20Sites/yyggy/giphy.com/static/dist/desktopVendor.733c4529.bundle.js	(from https://giphy.com/gifs/static-oEI9uBYSzLpBK)
19:34:41	1348321/1348321	---M-Z	200	added ('OK')	application/javascript	etag:W/%22bded640e5bba9bfed7578055a4dc191e%22	https://giphy.com/static/dist/desktopCommon.e7c97219.bundle.js	C:/My%20Web%20Sites/yyggy/giphy.com/static/dist/desktopCommon.e7c97219.bundle.js	(from https://giphy.com/gifs/static-oEI9uBYSzLpBK)
19:34:41	628084/628084	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e1b6d4c76b9a4d95a9682570c15fd776%22	https://giphy.com/static/dist/desktopEntry.884d2216.bundle.js	C:/My%20Web%20Sites/yyggy/giphy.com/static/dist/desktopEntry.884d2216.bundle.js	(from https://giphy.com/gifs/static-oEI9uBYSzLpBK)
19:34:42	51/51	---MCZ	200	added ('OK')	text/plain	date:Thu,%2017%20Mar%202022%2023:34:42%20GMT	https://fonts.googleapis.com/robots.txt		(from https://blacket.org/)
19:34:42	2059767/2059767	---M--	200	added ('OK')	image/gif	etag:%2218a3b363709048467a7a7fb3486fb207%22	https://i.giphy.com/media/oEI9uBYSzLpBK/giphy.gif	C:/My%20Web%20Sites/yyggy/i.giphy.com/media/oEI9uBYSzLpBK/giphy.gif	(from https://media1.giphy.com/media/oEI9uBYSzLpBK/giphy.gif?cid=790b76118be3b396e772c288c8e97ef171a36c49f39ce8a0&rid=giphy.gif&ct=g)
19:34:42	164267/164267	---M--	200	added ('OK')	image/gif	etag:%22da68e9f98199266959dac330452fa03c%22	https://i.giphy.com/media/oEI9uBYSzLpBK/giphy_s.gif	C:/My%20Web%20Sites/yyggy/i.giphy.com/media/oEI9uBYSzLpBK/giphy_s.gif	(from https://media1.giphy.com/media/oEI9uBYSzLpBK/giphy.gif?cid=790b76118be3b396e772c288c8e97ef171a36c49f39ce8a0&rid=giphy.gif&ct=g)
19:34:43	282/282	---M-Z	200	added ('OK')	application/json	date:Thu,%2017%20Mar%202022%2023:34:43%20GMT	https://giphy.com/services/oembed?url=https://media1.giphy.com/media/oEI9uBYSzLpBK/giphy.gif	C:/My%20Web%20Sites/yyggy/giphy.com/services/oembeda84e.json	(from https://media1.giphy.com/media/oEI9uBYSzLpBK/giphy.gif?cid=790b76118be3b396e772c288c8e97ef171a36c49f39ce8a0&rid=giphy.gif&ct=g)
19:34:43	16029/16029	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Mar%202022%2023:34:43%20GMT	https://media1.giphy.com/media/oEI9uBYSzLpBK/200w_s.gif	C:/My%20Web%20Sites/yyggy/media1.giphy.com/media/oEI9uBYSzLpBK/200w_s.html	(from https://media1.giphy.com/media/oEI9uBYSzLpBK/giphy.gif?cid=790b76118be3b396e772c288c8e97ef171a36c49f39ce8a0&rid=giphy.gif&ct=g)
19:34:43	5790/5790	---M-Z	200	added ('OK')	application/javascript	etag:W/%226a8acae8ca4723bfcabcf5a91ddd8829%22	https://media1.giphy.com/static/dist/runtime.79eb69db.bundle.js	C:/My%20Web%20Sites/yyggy/media1.giphy.com/static/dist/runtime.79eb69db.bundle.js	(from https://media1.giphy.com/media/oEI9uBYSzLpBK/giphy.gif?cid=790b76118be3b396e772c288c8e97ef171a36c49f39ce8a0&rid=giphy.gif&ct=g)
19:34:44	298028/298028	---M-Z	200	added ('OK')	application/javascript	etag:W/%223bfb270fa0d9da78a2d6cbe25deefdbe%22	https://media1.giphy.com/static/dist/mediaLanding.adcc65f1.bundle.js	C:/My%20Web%20Sites/yyggy/media1.giphy.com/static/dist/mediaLanding.adcc65f1.bundle.js	(from https://media1.giphy.com/media/oEI9uBYSzLpBK/giphy.gif?cid=790b76118be3b396e772c288c8e97ef171a36c49f39ce8a0&rid=giphy.gif&ct=g)
